mutation,biosensor,tau_frames,n_exp_jumps,n_exp_total,n_unexp_jumps,n_unexp_total,tau_min,p_exp,p_unexp,RR
Wild_Type,ERK (MAPK),13,290587,2836766,454985,5037491,65,0.10243601340399595,0.09031976434300329,1.1341483688440477
Wild_Type,ERK (MAPK),14,288502,2822078,457070,5052179,70,0.10223034232221788,0.09046987448386132,1.129993192821932
Wild_Type,ERK (MAPK),15,286481,2807253,459091,5067004,75,0.1020502961435966,0.09060403346829803,1.126332815848685
Wild_Type,ERK (MAPK),16,284521,2792710,461051,5081547,80,0.10187989443945128,0.09073044094642832,1.1228854767674517
Wild_Type,ERK (MAPK),17,282760,2777869,462812,5096388,85,0.10179025720795329,0.09081176707895866,1.1208928146883113
Wild_Type,ERK (MAPK),18,281403,2762941,464169,5111316,90,0.10184908038210008,0.09081203353500351,1.1215372722915882
Wild_Type,ERK (MAPK),19,279835,2748143,465737,5126114,95,0.1018269427755397,0.09085576325458232,1.1207538094222553
Wild_Type,ERK (MAPK),20,278109,2733817,467463,5140440,100,0.10172919401700992,0.09093832434577585,1.1186614086950164
Wild_Type,ERK (MAPK),21,276180,2719260,469392,5154997,105,0.10156439619602392,0.09105572709353663,1.1154092053066833
Wild_Type,ERK (MAPK),22,274412,2705081,471160,5169176,110,0.1014431730510103,0.09114798954417493,1.1129501984445396
Wild_Type,ERK (MAPK),23,272785,2690731,472787,5183526,115,0.10137951359686272,0.09120953574844613,1.1115012565842366
Wild_Type,ERK (MAPK),24,271160,2676258,474412,5197999,120,0.1013205752210736,0.09126819762758707,1.1101410771198144
Wild_Type,ERK (MAPK),25,269142,2661975,476430,5212282,125,0.1011061336038092,0.09140526164931215,1.106130345009193
Wild_Type,ERK (MAPK),26,267134,2647960,478438,5226297,130,0.10088294385111557,0.09154435731455751,1.1020116019217825
Wild_Type,ERK (MAPK),27,264855,2633839,480717,5240418,135,0.10055853831612335,0.09173256789820965,1.0962141431351555
Wild_Type,ERK (MAPK),28,263051,2619703,482521,5254554,140,0.10041252767966445,0.0918291067139095,1.09347168096164
Wild_Type,ERK (MAPK),29,261234,2605920,484338,5268337,145,0.10024636212930559,0.09193375442763058,1.0904195390847289
Wild_Type,ERK (MAPK),30,259406,2592415,486166,5281842,150,0.10006345434662274,0.0920447828617365,1.087117066666683
